gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tgtp1_76294,543.2281499,3.391239709,0.548982052,6.177323458,6.52E-10,2.59E-08
Cish_64362,60.61640654,1.772906105,0.28709574,6.175313164,6.60E-10,2.62E-08
Irgm2_31291,180.3876962,3.531026236,0.57233708,6.169487104,6.85E-10,2.71E-08
Map3k12_70925,60.43707913,-1.672803682,0.271523286,-6.160811132,7.24E-10,2.85E-08
Csf3r_57426,40.58524078,2.812146203,0.456636451,6.15839186,7.35E-10,2.89E-08
Dbn1_76240,91.00324048,1.694948633,0.275378504,6.154978007,7.51E-10,2.95E-08
Palm_65881,227.9521575,-1.315378943,0.213846809,-6.151033782,7.70E-10,3.01E-08
Tlr3_68365,117.8235211,1.586234784,0.25788194,6.151011521,7.70E-10,3.01E-08
Map2k1_71481,140.4385394,1.114168084,0.181223042,6.148048692,7.84E-10,3.05E-08
Meis1_76344,1132.004046,-1.495970056,0.243316629,-6.148244206,7.83E-10,3.05E-08
Nfkbid_58901,37.60364855,2.192045234,0.356541508,6.148078648,7.84E-10,3.05E-08
Ms4a6c_55873,241.7856055,2.103736837,0.342322627,6.145479944,7.97E-10,3.09E-08
Cfb_73409,995.8192011,2.733250293,0.444937659,6.142996074,8.10E-10,3.13E-08
Cebpb_79860,864.2816004,0.966630311,0.157393202,6.141499744,8.17E-10,3.15E-08
Zbp1_32091,64.93088767,3.601690883,0.586576714,6.14018729,8.24E-10,3.17E-08
Plek_82153,395.4142088,1.913219717,0.311668966,6.1386276,8.32E-10,3.20E-08
Slco3a1_63917,126.0971078,1.4499969,0.236235233,6.137936682,8.36E-10,3.20E-08
Gimap6_32133,897.7876619,1.203613189,0.196120398,6.137113723,8.40E-10,3.21E-08
Wsb1_76345,652.1128619,0.951279395,0.155045773,6.135474544,8.49E-10,3.24E-08
Ackr3_65273,819.1393981,1.428064403,0.232827714,6.13356709,8.59E-10,3.27E-08
Pomp_80505,650.7570318,1.040884076,0.16976082,6.131474118,8.71E-10,3.31E-08
Sphk1_65839,81.26960166,2.259173488,0.368496693,6.130783608,8.74E-10,3.31E-08
Bscl2_67224,675.7272256,-0.849804216,0.138636102,-6.129746878,8.80E-10,3.33E-08
Ifit3_56273,343.1015168,4.444300627,0.725965902,6.121913736,9.25E-10,3.49E-08
