gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Prrc2c_73411,222.2360955,-0.534752359,0.144749897,-3.694319446,0.000220476,0.029948413
Skp1a_68997,413.6851947,-0.967038234,0.261695029,-3.695286978,0.000219639,0.029948413
Zfp39_58512,87.34402335,-0.976735001,0.264728428,-3.689573527,0.00022463,0.030219255
Kdm2a_78336,355.2039991,-0.478004046,0.129772206,-3.683408478,0.000230136,0.03027032
L3mbtl2_79196,116.2837587,-0.605897634,0.164561051,-3.681901832,0.000231501,0.03027032
Mia2_76792,1196.209279,-0.5943151,0.161306819,-3.684376791,0.000229263,0.03027032
Calcoco1_30287,2190.972547,-0.507582157,0.137976148,-3.678767427,0.000234364,0.03036097
Dnajc21_65430,88.76705053,-1.067661424,0.290613789,-3.673815436,0.000238955,0.030671784
Hdac5_75458,68.6037146,-0.756627719,0.20657421,-3.662740477,0.000249531,0.03089551
Ift46_70666,841.0124803,-0.845333552,0.230391312,-3.669120788,0.000243386,0.03089551
Srgap2_79300,550.6440098,-0.642241719,0.175259223,-3.664524513,0.000247799,0.03089551
Wdr72_57018,62.95115242,-1.445429557,0.394207237,-3.66667433,0.000245725,0.03089551
Apln_68427,150.3643809,0.915830523,0.250921327,3.649871197,0.000262372,0.030924922
Atad5_73477,39.87600038,-0.963192003,0.264135847,-3.646578128,0.000265756,0.030924922
Cdr2_58483,435.7257732,-0.807233433,0.220851611,-3.655094161,0.000257088,0.030924922
Cebpd_68861,1487.431767,0.859923271,0.235131778,3.657197164,0.000254988,0.030924922
Fbxo8_67408,316.0007921,-0.69751373,0.191364811,-3.644942476,0.000267452,0.030924922
Itpr1_66928,195.2551832,-0.588397713,0.161279724,-3.648305549,0.000263976,0.030924922
Ndufaf1_54702,469.7543515,-0.869995983,0.237902312,-3.656946318,0.000255238,0.030924922
Paf1_72585,196.1939363,0.608363417,0.166775271,3.647803496,0.000264492,0.030924922
Tbl1xr1_67830,443.041746,-0.597731969,0.164309231,-3.637847762,0.000274926,0.031379422
Ube2h_71905,40.44749171,-1.176731075,0.323547421,-3.636966328,0.000275868,0.031379422
Dnajb12_58151,474.7183944,0.383749128,0.105797148,3.627216176,0.000286493,0.032045701
Fbxo25_66612,267.3889094,-0.509270155,0.140479125,-3.625237246,0.000288696,0.032045701
Mgat4a_73714,229.5869853,-0.523324547,0.144514704,-3.621254675,0.000293178,0.032045701
Nme1_31953,164.7663932,0.747751906,0.206415828,3.622551211,0.000291712,0.032045701
Tlr3_73636,71.07336175,-0.759207243,0.209458404,-3.624620579,0.000289386,0.032045701
Kat6a_29325,235.5870825,-0.847864785,0.234983292,-3.608191784,0.000308339,0.03342953
Pold3_72377,304.410127,-0.446075747,0.123694117,-3.606281018,0.000310617,0.03342953
Paip2_67989,1320.684495,-0.905949602,0.251540667,-3.60160292,0.000316261,0.033777176
Aplp2_62173,1919.11344,-0.430239598,0.119738577,-3.593157756,0.000326695,0.034004162
Capns1_74461,2287.431549,-0.551029272,0.153403174,-3.592033068,0.000328108,0.034004162
Mmp15_61859,942.6106279,-0.551427711,0.153509576,-3.592138857,0.000327975,0.034004162
Spint1_30201,439.274563,-0.74036816,0.206017438,-3.593715978,0.000325995,0.034004162
Smim12_60193,84.04286297,1.097906007,0.306042423,3.58743078,0.000333952,0.034355348
Cd151_79323,136.4350141,0.63720941,0.178209152,3.575626753,0.00034939,0.034424741
Cnot6_74982,1282.624957,-0.67332928,0.188024474,-3.581072529,0.000342187,0.034424741
Crybg3_78298,851.4959546,-0.523606419,0.146168432,-3.58221273,0.000340696,0.034424741
Psmc6_55718,551.7131528,0.478655215,0.133829466,3.576605588,0.000348085,0.034424741
Ssrp1_30279,629.4281611,-0.348521878,0.097269692,-3.583047003,0.000339609,0.034424741
Vangl1_80781,119.2189319,-0.68717118,0.192155147,-3.576126845,0.000348722,0.034424741
Gm20716_79266,138.2633281,0.558243091,0.15640789,3.569149166,0.000358142,0.034531238
Slc4a1ap_67273,499.3794579,-0.450396568,0.126194982,-3.569052916,0.000358274,0.034531238
Tm2d2_70064,48.98077698,-1.307899315,0.36623932,-3.571160284,0.000355403,0.034531238
Wwp1_57205,2209.483807,-0.403507812,0.113105215,-3.567543824,0.000360343,0.034531238
Kcnj15_77680,563.3794241,-0.832780397,0.233796374,-3.561990221,0.000368054,0.035030237
Nipsnap3b_56098,225.4059456,-0.713174629,0.200499755,-3.556985038,0.000375136,0.035462979
Chpt1_78785,293.5707264,-1.081702855,0.304305259,-3.554663694,0.000378463,0.035537407
Cdkl2_59920,281.8261766,-0.585392122,0.165066209,-3.546407982,0.000390521,0.035884411
Dapk1_66809,157.67547,-0.658491392,0.185579091,-3.548305954,0.000387718,0.035884411
Gm13212_64546,116.3523328,-1.041422949,0.294186454,-3.540009864,0.000400112,0.035884411
Med19_60027,542.6148413,-0.46603649,0.131491869,-3.544222881,0.000393772,0.035884411
mt-Cytb_31381,4629.457357,-1.132984648,0.319907,-3.54160631,0.000397699,0.035884411
Nbeal1_63407,1085.613505,-0.759558104,0.214440417,-3.54204732,0.000397034,0.035884411
Sh2b3_72895,95.22720026,0.743998733,0.209885381,3.544785874,0.000392932,0.035884411
Chpt1_73742,137.6300415,-1.065806205,0.302001195,-3.529145649,0.000416904,0.03604798
Lta4h_64380,340.5558749,-0.659559126,0.186905685,-3.528833944,0.000417395,0.03604798
mt-Nd2_82077,1564.989503,-1.051051807,0.297687312,-3.530724231,0.000414424,0.03604798
Rp9_79949,164.6111654,0.515328663,0.145867606,3.532852,0.000411103,0.03604798
Tmed10_29760,956.7941179,-0.383935469,0.108707107,-3.531834126,0.000412688,0.03604798
Zfp386_57297,380.2942098,-0.83809294,0.237390678,-3.530437455,0.000414873,0.03604798
Arhgap18_65204,254.3705935,-0.778367411,0.221138577,-3.5198174,0.000431844,0.037067051
Glod4_31927,386.7823078,-0.499137398,0.142025883,-3.514411517,0.000440729,0.037599061
Wwc1_59890,212.2489503,-0.493886543,0.140688158,-3.510505423,0.000447256,0.037924571
Nars_30652,1130.642763,0.395914647,0.113001214,3.503631818,0.000458959,0.038222033
Paxip1_76367,276.8600863,-0.41955537,0.119736543,-3.503987656,0.000458347,0.038222033
Retsat_60611,258.1049768,-0.930492074,0.265442382,-3.505438987,0.000455855,0.038222033
Cactin_81982,39.26627495,0.852309117,0.243472272,3.500641403,0.00046414,0.038424744
Tlk1_79886,820.2217707,-0.576576339,0.16487629,-3.497023974,0.00047048,0.038720467
Ddx47_67060,65.03509621,0.761472517,0.217946195,3.493855515,0.000476099,0.038953776
Ppig_79520,79.06444338,-0.94221,0.26991628,-3.490749056,0.000481668,0.039180367
Spred1_58716,1667.894531,0.499962611,0.14329801,3.488971059,0.000484884,0.039213914
Slc9a3r1_31733,1430.559646,-0.677632174,0.194418022,-3.485439095,0.00049133,0.03950689
Prep_57932,775.948786,0.400920958,0.115185374,3.480658571,0.000500183,0.039537036
Pttg1ip_76714,46.4734019,0.982870729,0.282325229,3.481342185,0.000498908,0.039537036
Topors_73469,472.368767,-0.494339199,0.141910319,-3.483461977,0.000494973,0.039537036
Mast2_66963,479.2381556,-0.700020045,0.201301274,-3.477474493,0.000506161,0.039562578
