gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Papd4_77005,143.7047374,-0.935974021,0.221672106,-4.222335585,2.42E-05,0.001375869
Sap130_60844,288.2365536,-0.793242296,0.187905229,-4.221501987,2.43E-05,0.001376455
Gbf1_64944,514.1044528,-0.732942146,0.173668629,-4.220348557,2.44E-05,0.00137901
Fh1_70377,490.610494,0.722962534,0.171339543,4.219472758,2.45E-05,0.001379883
AU021092_61815,650.9022866,-1.070798873,0.253938245,-4.216768821,2.48E-05,0.001383591
Cop1_73039,1128.361886,-0.461195695,0.109392883,-4.215957046,2.49E-05,0.001383591
Pak4_63287,133.5815851,-0.775909906,0.183967422,-4.217648423,2.47E-05,0.001383591
Pcm1_65304,682.8053566,-0.724103389,0.171745138,-4.216150736,2.49E-05,0.001383591
Gsta1_31374,14.85693639,2.160874251,0.513449557,4.208542436,2.57E-05,0.001425206
Zcchc10_67978,61.81611776,-0.795912473,0.189415582,-4.201937682,2.65E-05,0.001462768
Mafg_62943,494.5006087,0.566727208,0.134943298,4.19974326,2.67E-05,0.001472328
Tceal1_32191,184.5562331,-1.026848305,0.244913647,-4.192695335,2.76E-05,0.001514034
Adgrd1_56894,35.63248947,-1.682372497,0.401426461,-4.190985553,2.78E-05,0.001515345
Clock_58804,325.0193432,-0.900492977,0.21487144,-4.190845356,2.78E-05,0.001515345
Tcp1_29748,2237.366143,0.466471513,0.111320267,4.190355681,2.79E-05,0.001515345
Apc_69392,520.9747477,-0.674151217,0.161271439,-4.180226969,2.91E-05,0.001574575
Scnn1g_31433,995.4880256,-0.571337897,0.13667135,-4.180377942,2.91E-05,0.001574575
Cdr2_58483,435.7257732,-0.922494195,0.220832785,-4.177342585,2.95E-05,0.001589716
Erap1_75895,441.5380947,-0.737351533,0.176575188,-4.175850198,2.97E-05,0.001595221
Olfml3_69716,223.1260363,0.823543019,0.197367366,4.172640261,3.01E-05,0.001607914
Uck2_67674,149.6970092,0.790023634,0.189307607,4.173227102,3.00E-05,0.001607914
Atf2_65871,24.53105907,-1.484886717,0.35601054,-4.170906622,3.03E-05,0.001611895
Zranb2_68671,660.3422353,0.687964358,0.164952592,4.170679283,3.04E-05,0.001611895
Mrps7_71842,519.637679,0.525729669,0.126129007,4.168190037,3.07E-05,0.001624627
Calr_69204,981.1397344,-0.840903787,0.201801513,-4.166984555,3.09E-05,0.001628275
Mia2_76792,1196.209279,-0.671887451,0.161399583,-4.162882191,3.14E-05,0.001652794
Gdi2_75622,602.8394833,-0.586534875,0.141030494,-4.158922345,3.20E-05,0.001672887
Slu7_77197,617.400907,-0.508037225,0.122161247,-4.158742952,3.20E-05,0.001672887
Gdnf_74188,20.67498039,1.363642272,0.327952612,4.158046688,3.21E-05,0.001672954
Osbpl6_61977,99.32251437,-1.0239345,0.246361548,-4.156226934,3.24E-05,0.001681279
Trmt1l_63190,232.0028783,-0.824026379,0.198440002,-4.15252153,3.29E-05,0.001703643
Sfr1_62065,2605.069356,-0.557343446,0.13426486,-4.151074573,3.31E-05,0.001709349
Dnajb12_58151,474.7183944,0.43741167,0.105508065,4.145765258,3.39E-05,0.001744256
Calcoco1_30287,2190.972547,-0.571635784,0.138061053,-4.140456494,3.47E-05,0.001764181
Fbxo11_29575,109.513148,0.928035368,0.224044369,4.142194565,3.44E-05,0.001764181
Il6_60343,22.4209472,2.765862018,0.66796239,4.140745139,3.46E-05,0.001764181
Mettl21a_54020,302.4651384,-0.650787706,0.157143954,-4.141347412,3.45E-05,0.001764181
Nbeal1_63407,1085.613505,-0.887650798,0.214607651,-4.136156348,3.53E-05,0.001792294
Rab6a_68205,554.0981967,-0.630468444,0.152556559,-4.132686579,3.59E-05,0.001814271
Cfap36_79612,301.2211383,-0.803353299,0.194471779,-4.130950533,3.61E-05,0.001822715
Prrc2c_73411,222.2360955,-0.59600396,0.144355067,-4.128735984,3.65E-05,0.001835022
C1qbp_63448,613.704988,0.61364556,0.148664777,4.127713195,3.66E-05,0.001837873
Ccdc93_65567,122.7936167,-0.62055599,0.150367777,-4.126921364,3.68E-05,0.001838896
Rufy2_76046,79.17839682,-0.731895076,0.177630446,-4.120324493,3.78E-05,0.001886912
Cxcl16_69697,1441.781206,0.647380721,0.157251064,4.116860672,3.84E-05,0.001899113
Hsp90aa1_31929,3408.564571,0.722055211,0.17533645,4.118112418,3.82E-05,0.001899113
Zfp788_53834,156.3444298,-0.885768252,0.215123854,-4.117480406,3.83E-05,0.001899113
Ggcx_76575,149.654041,-0.913989763,0.222054463,-4.116061216,3.85E-05,0.001900295
Spry2_56791,64.50449386,0.934857393,0.227223187,4.11426935,3.88E-05,0.00190969
Gm3150_31169,995.0970062,-0.941488177,0.229039035,-4.110601403,3.95E-05,0.001929706
Kcnk2_32066,153.0626828,-1.304522415,0.317369328,-4.110423721,3.95E-05,0.001929706
