Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
FA 23:0,23902,23417,12732,21364,24807,28148,24736,28616,12657,17707,19742,9744,16304,16532,4251,55264,19512,27234,17943,17634,17633,12472,19318,17804,13597,16226,20769,15486,13427,14255,14769,16886,8486,23822,12854,9967,23777,19205,29565,21365,16230,33604,37241,28449
FA 24:1,196376,183436,129502,193383,161420,165019,175714,206518,145490,180332,171447,142702,142388,176140,103238,255200,185973,254115,113885,101384,114226,126701,134825,133757,113494,135110,195053,150807,149636,120217,116752,153201,100704,132618,133407,119123,118932,163990,223130,227311,151702,125359,200828,165315
FA 24:0,186371,171938,150066,110980,158120,132928,172067,182122,127049,134812,186233,142895,147429,149893,122480,273625,175263,195324,128885,238610,133705,100450,156343,106499,93071,129531,148140,149911,142486,119630,115214,134063,112418,152843,106641,105191,124782,130167,156836,182756,147530,156496,169418,172099
FA 26:0,20504,17591,15067,13920,20441,15985,33779,26937,16191,15839,28239,16000,15174,9019,19198,65406,17764,37056,21998,34334,18319,11994,14183,9052,14298,9705,19549,16211,20050,17680,10467,18707,6616,19277,16187,7328,11214,11211,12226,17721,15397,14377,18305,19271
GM3(d34:1),24302,13051,28089,12928,8356,12529,1150,4646,7267,1279,26938,16720,8112,3733,35422,24417,929,41042,1207,11525,26415,4811,23958,17405,26710,1168,26911,1339,13267,11248,21492,16876,540,21008,24263,26839,2072,1620,382,855,117,1709,150,272
GM3(d36:1),4048,4602,3735,3941,1048,3300,460,1908,1489,649,7061,2348,4358,1589,13135,13401,441,9061,679,1409,6825,737,4969,1398,7161,1229,3186,1090,801,1644,10037,4852,610,3656,7580,5150,1671,241,155,489,122,1122,335,210
GM3(d40:1),44971,41883,59998,42950,25681,41944,1335,45646,28243,5136,85159,39772,48933,46851,84952,45968,10239,69181,18163,49993,64870,23290,41325,35315,70955,21790,54265,22608,34305,38338,85089,40251,23026,34137,46295,30927,31781,21614,467,11052,992,15263,1125,1322
GM3(d42:1),33770,31497,35248,29781,13828,17052,1050,25320,23719,5171,58876,25540,27640,26893,48369,18612,3303,36806,9334,37128,37752,19578,23452,23888,45149,9797,42026,12853,26328,14518,45772,22433,8897,26185,18954,17858,19494,7813,238,806,169,6743,910,867
HexCer(d18:1/20:0),36076,43021,49140,24763,33810,32082,33737,38126,36728,58837,67878,80756,36302,26349,33988,60710,68949,94235,45701,26828,41698,76133,48662,46534,44699,40798,69540,55573,56924,45792,45474,43315,56546,75208,71040,72871,29693,43427,46929,71731,25863,39671,51772,57890
HexCer(d18:1/22:0),335178,498711,435046,333251,329769,360729,382884,434841,416839,450890,491884,579457,390885,396944,390979,549745,533647,759573,418997,362801,372111,648769,500012,454579,460743,419573,575915,478180,451258,398527,387879,339958,437497,654536,482947,530764,378848,475637,416457,527881,334829,328707,426043,449426
HexCer(d18:1/23:0),94924,128001,132898,95933,123729,134836,98839,111638,150149,107258,152835,202001,96240,114055,95822,200619,143438,179693,116595,97584,148839,221708,151559,138281,143884,139120,166817,150387,133405,125319,106520,111723,143060,204078,134590,134131,107589,127353,178550,153287,104164,116588,159248,142335
HexCer(d18:1/24:1),311684,393014,386135,322376,331128,400062,352258,355759,416364,418876,442004,498420,394530,336533,410162,552761,488994,543956,314003,289052,392115,573234,484798,480885,455743,428044,533356,413014,436329,349305,378600,367944,395451,564460,566885,548578,373761,477551,434548,489666,370219,355265,383024,369499
HexCer(d18:2/24:0),12888,26102,20777,15657,9952,25499,17155,27315,20794,15075,25798,21342,19573,24359,18712,32735,22202,42008,12213,16846,21730,23396,21522,20433,18130,29259,31795,21265,24613,20046,14729,12647,19070,25820,21707,18103,14577,22135,21427,37494,17076,12166,18160,16034
