Molecule Name,13 Total Area MS1,14 Total Area MS1,15 Total Area MS1,16 Total Area MS1,17 Total Area MS1,18 Total Area MS1,19 Total Area MS1,20 Total Area MS1,21 Total Area MS1,22 Total Area MS1,23 Total Area MS1,24 Total Area MS1,25 Total Area MS1,26 Total Area MS1,27 Total Area MS1,29 Total Area MS1,30 Total Area MS1,49 Total Area MS1,50 Total Area MS1,51 Total Area MS1,52 Total Area MS1,53 Total Area MS1,54 Total Area MS1,55 Total Area MS1,56 Total Area MS1,57 Total Area MS1,58 Total Area MS1,59 Total Area MS1,60 Total Area MS1,62 Total Area MS1,63 Total Area MS1,64 Total Area MS1,65 Total Area MS1,66 Total Area MS1,67 Total Area MS1,68 Total Area MS1,69 Total Area MS1,70 Total Area MS1,101 Total Area MS1,102 Total Area MS1,103 Total Area MS1,104 Total Area MS1,105 Total Area MS1,106 Total Area MS1
PC(14:0/14:0),1354494,2355701,1611809,1686081,1725011,1777765,1627072,1927172,2232468,2203991,2094253,1903428,2795207,1500017,1971729,1969269,2142741,3505138,1747976,2719178,2739087,2296901,2317329,2219047,2339393,1577668,2580995,2006264,2216473,2162926,2244352,2998833,1792147,1664304,1841468,1379352,1776217,1780173,2201405,3047182,2161446,2350766,2081250,2184529
PC(P-32:0);PC(O-32:1),514001,548752,482202,486455,386103,529175,410815,538025,444418,548821,536673,605212,659854,618612,601443,581476,469744,634323,524133,756553,637332,734701,879760,717100,694351,723134,895582,447066,721460,571660,608641,634569,706391,709090,790517,679123,772941,1040321,736107,721314,678925,810883,764180,841353
PC(P-16:0/16:0),16275623,18157784,15520109,17215728,14158685,14088615,15405238,15708414,15481198,15640716,16012068,16487444,16932294,16630481,14063361,16944054,16081107,16317829,16013312,15463099,14717933,16771548,14769693,17463696,17269346,17047628,17739914,16231961,15601642,16080273,17580824,16518015,15964281,17281956,14442073,15963636,16276197,17255872,15533691,15149574,15158837,16388612,17819376,16231692
PC(O-16:0/20:5);PC(P-16:0/20:4),5542142,5063996,4802323,5512873,5202536,5025059,4133722,5579000,5398521,4500859,4982574,5182283,5340919,5956321,4710256,6315479,6080772,5662617,4254322,4849627,5559487,5439645,5191688,5248067,6652604,6134120,5776005,5802640,5775634,5098931,6157739,5729590,4878848,5476320,5105672,4866988,4590427,6280826,4655084,5725780,5660136,5994179,5498246,5601317
PC(O-16:0/20:3),790501,732718,730903,598917,597802,421034,510113,817662,651199,866747,620002,695668,747906,755555,654840,538822,683171,799899,583313,601386,706963,899381,865429,1073893,723893,779431,765179,652525,1113855,889829,699395,639371,836312,732225,2677696,2075606,2127115,2885399,551693,732487,575849,686092,964533,570809
PC(P-18:0/20:5),1800019,2476255,1809413,2246584,2275688,1676804,2101104,2222205,2024655,2661138,1621950,1879444,2034130,2351505,1807774,2544417,1923058,2129343,2228038,1983772,1833760,2238127,1886385,2411919,2448262,2179995,2453520,2211801,2023629,2324149,2001958,2307235,2232151,2258691,2078465,2150663,2609751,1638965,2164980,2174206,1822022,2041090,2315816,1949322
PC(O-38:4);PC(P-38:3)a,1193707,1586686,1520843,1648464,1357659,1225866,1253737,1355820,1172391,1325417,1061407,1845411,1938783,1634417,1329886,1518339,1396602,1652266,1325889,1281629,1389677,1764803,1353810,1537008,1616213,1564648,1689024,1114683,1543987,1434046,1735824,1844785,1463233,1452229,1479675,1315381,1377733,1356276,1477813,1272384,1269740,1365543,1840539,1547880
PC(O-38:4);PC(P-38:3)b,522424,565493,602820,536685,591268,446143,548469,710739,430864,595683,501881,598647,705359,608669,437630,579424,524548,632296,530630,473294,517014,676271,546716,565687,525161,490244,716371,579312,508892,700776,579493,629951,555253,594500,861469,800591,797120,866251,449575,560762,487217,534048,724919,512662
PC(O-40:6);PC(P-40:5),177337,256635,190348,229010,215809,172521,210962,244657,188820,206989,183402,197228,265638,262777,142454,233957,138071,208123,200831,169773,137102,186673,153458,221305,175085,224063,285296,192364,180070,254507,205190,197142,183565,244986,240926,235658,303905,229243,219516,201407,149379,175110,261767,162346
PC(O-18:0/22:5);PC(P-18:0/22:4),130319,188367,171092,174323,162517,128583,143189,208092,143878,191707,129317,175915,204912,161417,142679,161567,145043,175200,155518,146773,104676,191246,131367,190900,154203,154035,232687,143029,144842,194473,180604,181387,137475,192553,157548,175741,187245,188635,127853,171290,116154,177835,248309,123297
